PS C:\Users\Angela.garciai> Get-DnsClientCache

Entry                     RecordName                Record Status    Section TimeTo Data   Data
                                                    Type                     Live   Length
-----                     ----------                ------ ------    ------- ------ ------ ----
oauthaccountmanager.go... oauthaccountmanager.go... A      Success   Answer       4      4 172.253.125.95
fcmconnection.googleap... fcmconnection.googleap... A      Success   Answer       3      4 142.250.126.95
webmail.dgb.uanl.mx       webmail.dgb.uanl.mx       CNAME  Success   Answer   54910      8 mail.dgb.uanl.mx
webmail.dgb.uanl.mx       mail.dgb.uanl.mx          A      Success   Answer   54910      4 148.234.90.52
ti.dgb.uanl.mx            ti.dgb.uanl.mx            CNAME  Success   Answer   21186      8 e1.dgb.uanl.mx
ti.dgb.uanl.mx            e1.dgb.uanl.mx            A      Success   Answer   21186      4 148.234.90.50
www.dgb.uanl.mx           www.dgb.uanl.mx           CNAME  Success   Answer   21186      8 e1.dgb.uanl.mx
www.dgb.uanl.mx           e1.dgb.uanl.mx            A      Success   Answer   21186      4 148.234.90.50
ssl.gstatic.com           ssl.gstatic.com           A      Success   Answer       7      4 108.177.9.94
cdn.ravenjs.com           cdn.ravenjs.com           A      Success   Answer     148      4 151.101.130.217
cdn.ravenjs.com           cdn.ravenjs.com           A      Success   Answer     148      4 151.101.66.217
cdn.ravenjs.com           cdn.ravenjs.com           A      Success   Answer     148      4 151.101.194.217
cdn.ravenjs.com           cdn.ravenjs.com           A      Success   Answer     148      4 151.101.2.217
sb-ssl.google.com         sb-ssl.google.com         CNAME  Success   Answer      10      8 sb-ssl.l.google.com
sb-ssl.google.com         sb-ssl.l.google.com       A      Success   Answer      10      4 173.194.78.91
sb-ssl.google.com         sb-ssl.l.google.com       A      Success   Answer      10      4 173.194.78.136
sb-ssl.google.com         sb-ssl.l.google.com       A      Success   Answer      10      4 173.194.78.93
sb-ssl.google.com         sb-ssl.l.google.com       A      Success   Answer      10      4 173.194.78.190
log.prezi.com             log.prezi.com             A      Success   Answer       4      4 52.22.182.45
log.prezi.com             log.prezi.com             A      Success   Answer       4      4 3.228.232.139
log.prezi.com             log.prezi.com             A      Success   Answer       4      4 3.214.187.101
www.p-hd.com.ar           www.p-hd.com.ar           CNAME  Success   Answer   10236      8 p-hd.com.ar
www.p-hd.com.ar           p-hd.com.ar               A      Success   Answer   10236      4 69.16.228.14
ocsp.digicert.com         ocsp.digicert.com         CNAME  Success   Answer    1203      8 cs9.wac.phicdn.net
ocsp.digicert.com         cs9.wac.phicdn.net        A      Success   Answer    1203      4 72.21.91.29
www.um.es                 www.um.es                 CNAME  Success   Answer    5370      8 wwwclu.um.es
www.um.es                 wwwclu.um.es              A      Success   Answer    5370      4 155.54.212.103
pypi.org                  pypi.org                  A      Success   Answer   42856      4 151.101.192.223
pypi.org                  pypi.org                  A      Success   Answer   42856      4 151.101.128.223
pypi.org                  pypi.org                  A      Success   Answer   42856      4 151.101.64.223
pypi.org                  pypi.org                  A      Success   Answer   42856      4 151.101.0.223
pypi.org                  pypi.org                  A      Success   Answer   42856      4 151.101.192.223
pypi.org                  pypi.org                  A      Success   Answer   42856      4 151.101.128.223
pypi.org                  pypi.org                  A      Success   Answer   42856      4 151.101.64.223
pypi.org                  pypi.org                  A      Success   Answer   42856      4 151.101.0.223
vscodeexperiments.azur... vscodeexperiments.azur... CNAME  Success   Answer     448      8 vscodeexperiments.ec.azur...
vscodeexperiments.azur... vscodeexperiments.ec.a... CNAME  Success   Answer     448      8 cs9.wpc.v0cdn.net
vscodeexperiments.azur... cs9.wpc.v0cdn.net         A      Success   Answer     448      4 72.21.81.200
github.githubassets.com   github.githubassets.com   A      Success   Answer      64      4 185.199.110.154
github.githubassets.com   github.githubassets.com   A      Success   Answer      64      4 185.199.111.154
github.githubassets.com   github.githubassets.com   A      Success   Answer      64      4 185.199.108.154
github.githubassets.com   github.githubassets.com   A      Success   Answer      64      4 185.199.109.154
ftp.dgb.uanl.mx           ftp.dgb.uanl.mx           A      Success   Answer   83416      4 148.234.90.51


PS C:\Users\Angela.garciai>
